,Supplier_Lead_Time,Inventory_Levels,Order_Frequency,Delivery_Performance,Cost_Per_Unit
Supplier_Lead_Time,1.0,-0.053104826816224006,0.08723708037493683,-0.054780638293362924,-0.10293142423630182
Inventory_Levels,-0.053104826816224006,1.0,-0.11144222215742684,-0.15533336843835358,0.1369643158673927
Order_Frequency,0.08723708037493683,-0.11144222215742684,1.0,-0.2676566923706475,-0.061705002618936744
Delivery_Performance,-0.054780638293362924,-0.15533336843835358,-0.2676566923706475,1.0,-0.14920613240102346
Cost_Per_Unit,-0.10293142423630182,0.1369643158673927,-0.061705002618936744,-0.14920613240102346,1.0
